description,industry,level,size,line_code,value
Business focused on when assessing performance: innovation measures - a moderate amount,total,0,total,C2005_03,10911
Business focused on when assessing performance: innovation measures - a great deal,total,0,6–19 employees,C2005_04,4026
Business focused on when assessing performance: innovation measures - a great deal,total,0,20–49 employees,C2005_04,1131
Business focused on when assessing performance: innovation measures - a great deal,total,0,50–99 employees,C2005_04,360
Business focused on when assessing performance: innovation measures - a great deal,total,0,100+ employees,C2005_04,351
Business focused on when assessing performance: innovation measures - a great deal,"Agriculture, forestry, & fishing",1,total,C2005_04,375
Business focused on when assessing performance: innovation measures - a great deal,Agriculture,2,total,C2005_04,216
Business focused on when assessing performance: innovation measures - a great deal,Commercial fishing,2,total,C2005_04,6
Business focused on when assessing performance: innovation measures - a great deal,Forestry & logging,2,total,C2005_04,45
Business focused on when assessing performance: innovation measures - a great deal,"Agriculture, forestry, & fishing support services",2,total,C2005_04,108
Business focused on when assessing performance: innovation measures - a great deal,Mining,1,total,C2005_04,18
Business focused on when assessing performance: innovation measures - a great deal,Manufacturing,1,total,C2005_04,741
Business focused on when assessing performance: innovation measures - a great deal,"Food, beverage, & tobacco",2,total,C2005_04,180
Business focused on when assessing performance: innovation measures - a great deal,"Textile, clothing, footwear, & leather",2,total,C2005_04,27
Business focused on when assessing performance: innovation measures - a great deal,Wood & paper product,2,total,C2005_04,36
Business focused on when assessing performance: innovation measures - a great deal,"Printing, publishing, & recorded media",2,total,C2005_04,39
Business focused on when assessing performance: innovation measures - a great deal,"Petroleum, coal, chemical, & associated product",2,total,C2005_04,120
Business focused on when assessing performance: innovation measures - a great deal,Non-metallic mineral product,2,total,C2005_04,48
Business focused on when assessing performance: innovation measures - a great deal,Metal product,2,total,C2005_04,99
Business focused on when assessing performance: innovation measures - a great deal,Transport and industrial machinery & equipment,2,total,C2005_04,87
Business focused on when assessing performance: innovation measures - a great deal,Other machinery & equipment,2,total,C2005_04,39
Business focused on when assessing performance: innovation measures - a great deal,Other manufacturing,2,total,C2005_04,60
Business focused on when assessing performance: innovation measures - a great deal,"Electricity, gas, water, & waste services",1,total,C2005_04,18
Business focused on when assessing performance: innovation measures - a great deal,Construction,1,total,C2005_04,795
Business focused on when assessing performance: innovation measures - a great deal,Wholesale trade,1,total,C2005_04,429
Business focused on when assessing performance: innovation measures - a great deal,Machinery & equipment wholesaling,2,total,C2005_04,138
Business focused on when assessing performance: innovation measures - a great deal,Other wholesale trade,2,total,C2005_04,288
Business focused on when assessing performance: innovation measures - a great deal,Retail trade,1,total,C2005_04,726
Business focused on when assessing performance: innovation measures - a great deal,Accommodation & food services,1,total,C2005_04,519
Business focused on when assessing performance: innovation measures - a great deal,"Transport, postal, & warehousing",1,total,C2005_04,132
Business focused on when assessing performance: innovation measures - a great deal,Information media & telecommunications,1,total,C2005_04,75
Business focused on when assessing performance: innovation measures - a great deal,Publishing,2,total,C2005_04,33
Business focused on when assessing performance: innovation measures - a great deal,Motion picture,2,total,C2005_04,12
Business focused on when assessing performance: innovation measures - a great deal,Telecommunications,2,total,C2005_04,27
Business focused on when assessing performance: innovation measures - a great deal,Financial & insurance services,1,total,C2005_04,78
Business focused on when assessing performance: innovation measures - a great deal,Finance,2,total,C2005_04,39
Business focused on when assessing performance: innovation measures - a great deal,Insurance,2,total,C2005_04,6
Business focused on when assessing performance: innovation measures - a great deal,Auxiliary,2,total,C2005_04,36
Business focused on when assessing performance: innovation measures - a great deal,"Rental, hiring, & real estate services",1,total,C2005_04,186
Business focused on when assessing performance: innovation measures - a great deal,"Professional, scientific, & technical services",1,total,C2005_04,723
Business focused on when assessing performance: innovation measures - a great deal,Computer systems design,2,total,C2005_04,210
Business focused on when assessing performance: innovation measures - a great deal,Other professional scientific,2,total,C2005_04,516
Business focused on when assessing performance: innovation measures - a great deal,Administrative & support services,1,total,C2005_04,273
Business focused on when assessing performance: innovation measures - a great deal,Education & training,1,total,C2005_04,141
Business focused on when assessing performance: innovation measures - a great deal,Health care & social assistance,1,total,C2005_04,351
Business focused on when assessing performance: innovation measures - a great deal,Arts & recreation services,1,total,C2005_04,105
Business focused on when assessing performance: innovation measures - a great deal,Other services,1,total,C2005_04,174
Business focused on when assessing performance: innovation measures - a great deal,total,0,total,C2005_04,5865
Business focused on when assessing performance: innovation measures - don't know,total,0,6–19 employees,C2005_05,2673
Business focused on when assessing performance: innovation measures - don't know,total,0,20–49 employees,C2005_05,522
Business focused on when assessing performance: innovation measures - don't know,total,0,50–99 employees,C2005_05,90
Business focused on when assessing performance: innovation measures - don't know,total,0,100+ employees,C2005_05,69
Business focused on when assessing performance: innovation measures - don't know,"Agriculture, forestry, & fishing",1,total,C2005_05,372
Business focused on when assessing performance: innovation measures - don't know,Agriculture,2,total,C2005_05,276
Business focused on when assessing performance: innovation measures - don't know,Commercial fishing,2,total,C2005_05,6
Business focused on when assessing performance: innovation measures - don't know,Forestry & logging,2,total,C2005_05,18
Business focused on when assessing performance: innovation measures - don't know,"Agriculture, forestry, & fishing support services",2,total,C2005_05,72
Business focused on when assessing performance: innovation measures - don't know,Mining,1,total,C2005_05,6
Business focused on when assessing performance: innovation measures - don't know,Manufacturing,1,total,C2005_05,279
Business focused on when assessing performance: innovation measures - don't know,"Food, beverage, & tobacco",2,total,C2005_05,57
Business focused on when assessing performance: innovation measures - don't know,"Textile, clothing, footwear, & leather",2,total,C2005_05,15
Business focused on when assessing performance: innovation measures - don't know,Wood & paper product,2,total,C2005_05,33
Business focused on when assessing performance: innovation measures - don't know,"Printing, publishing, & recorded media",2,total,C2005_05,15
Business focused on when assessing performance: innovation measures - don't know,"Petroleum, coal, chemical, & associated product",2,total,C2005_05,15
Business focused on when assessing performance: innovation measures - don't know,Non-metallic mineral product,2,total,C2005_05,9
Business focused on when assessing performance: innovation measures - don't know,Metal product,2,total,C2005_05,45
Business focused on when assessing performance: innovation measures - don't know,Transport and industrial machinery & equipment,2,total,C2005_05,63
Business focused on when assessing performance: innovation measures - don't know,Other machinery & equipment,2,total,C2005_05,12
Business focused on when assessing performance: innovation measures - don't know,Other manufacturing,2,total,C2005_05,9
Business focused on when assessing performance: innovation measures - don't know,"Electricity, gas, water, & waste services",1,total,C2005_05,6
Business focused on when assessing performance: innovation measures - don't know,Construction,1,total,C2005_05,390
Business focused on when assessing performance: innovation measures - don't know,Wholesale trade,1,total,C2005_05,198
Business focused on when assessing performance: innovation measures - don't know,Machinery & equipment wholesaling,2,total,C2005_05,63
Business focused on when assessing performance: innovation measures - don't know,Other wholesale trade,2,total,C2005_05,135
Business focused on when assessing performance: innovation measures - don't know,Retail trade,1,total,C2005_05,555
Business focused on when assessing performance: innovation measures - don't know,Accommodation & food services,1,total,C2005_05,645
Business focused on when assessing performance: innovation measures - don't know,"Transport, postal, & warehousing",1,total,C2005_05,144
Business focused on when assessing performance: innovation measures - don't know,Information media & telecommunications,1,total,C2005_05,24
Business focused on when assessing performance: innovation measures - don't know,Publishing,2,total,C2005_05,3
Business focused on when assessing performance: innovation measures - don't know,Motion picture,2,total,C2005_05,15
Business focused on when assessing performance: innovation measures - don't know,Telecommunications,2,total,C2005_05,6
Business focused on when assessing performance: innovation measures - don't know,Financial & insurance services,1,total,C2005_05,27
Business focused on when assessing performance: innovation measures - don't know,Finance,2,total,C2005_05,15
Business focused on when assessing performance: innovation measures - don't know,Insurance,2,total,C2005_05,3
Business focused on when assessing performance: innovation measures - don't know,Auxiliary,2,total,C2005_05,12
Business focused on when assessing performance: innovation measures - don't know,"Rental, hiring, & real estate services",1,total,C2005_05,54
Business focused on when assessing performance: innovation measures - don't know,"Professional, scientific, & technical services",1,total,C2005_05,165
Business focused on when assessing performance: innovation measures - don't know,Computer systems design,2,total,C2005_05,18
Business focused on when assessing performance: innovation measures - don't know,Other professional scientific,2,total,C2005_05,150
Business focused on when assessing performance: innovation measures - don't know,Administrative & support services,1,total,C2005_05,108
Business focused on when assessing performance: innovation measures - don't know,Education & training,1,total,C2005_05,21
Business focused on when assessing performance: innovation measures - don't know,Health care & social assistance,1,total,C2005_05,192
Business focused on when assessing performance: innovation measures - don't know,Arts & recreation services,1,total,C2005_05,27
Business focused on when assessing performance: innovation measures - don't know,Other services,1,total,C2005_05,138
Business focused on when assessing performance: innovation measures - don't know,total,0,total,C2005_05,3357
Business focused on when assessing performance: human resources - not at all,total,0,6–19 employees,C2006_01,2406
Business focused on when assessing performance: human resources - not at all,total,0,20–49 employees,C2006_01,372
Business focused on when assessing performance: human resources - not at all,total,0,50–99 employees,C2006_01,108
Business focused on when assessing performance: human resources - not at all,total,0,100+ employees,C2006_01,30
Business focused on when assessing performance: human resources - not at all,"Agriculture, forestry, & fishing",1,total,C2006_01,285
Business focused on when assessing performance: human resources - not at all,Agriculture,2,total,C2006_01,210
Business focused on when assessing performance: human resources - not at all,Commercial fishing,2,total,C2006_01,3
Business focused on when assessing performance: human resources - not at all,Forestry & logging,2,total,C2006_01,12
Business focused on when assessing performance: human resources - not at all,"Agriculture, forestry, & fishing support services",2,total,C2006_01,63
Business focused on when assessing performance: human resources - not at all,Mining,1,total,C2006_01,9
Business focused on when assessing performance: human resources - not at all,Manufacturing,1,total,C2006_01,531
Business focused on when assessing performance: human resources - not at all,"Food, beverage, & tobacco",2,total,C2006_01,84
Business focused on when assessing performance: human resources - not at all,"Textile, clothing, footwear, & leather",2,total,C2006_01,45
Business focused on when assessing performance: human resources - not at all,Wood & paper product,2,total,C2006_01,78
Business focused on when assessing performance: human resources - not at all,"Printing, publishing, & recorded media",2,total,C2006_01,18
Business focused on when assessing performance: human resources - not at all,"Petroleum, coal, chemical, & associated product",2,total,C2006_01,42
Business focused on when assessing performance: human resources - not at all,Non-metallic mineral product,2,total,C2006_01,9
Business focused on when assessing performance: human resources - not at all,Metal product,2,total,C2006_01,117
Business focused on when assessing performance: human resources - not at all,Transport and industrial machinery & equipment,2,total,C2006_01,63
Business focused on when assessing performance: human resources - not at all,Other machinery & equipment,2,total,C2006_01,39
Business focused on when assessing performance: human resources - not at all,Other manufacturing,2,total,C2006_01,33
Business focused on when assessing performance: human resources - not at all,"Electricity, gas, water, & waste services",1,total,C2006_01,9
Business focused on when assessing performance: human resources - not at all,Construction,1,total,C2006_01,333
Business focused on when assessing performance: human resources - not at all,Wholesale trade,1,total,C2006_01,276
Business focused on when assessing performance: human resources - not at all,Machinery & equipment wholesaling,2,total,C2006_01,54
Business focused on when assessing performance: human resources - not at all,Other wholesale trade,2,total,C2006_01,222
Business focused on when assessing performance: human resources - not at all,Retail trade,1,total,C2006_01,174
Business focused on when assessing performance: human resources - not at all,Accommodation & food services,1,total,C2006_01,471
Business focused on when assessing performance: human resources - not at all,"Transport, postal, & warehousing",1,total,C2006_01,126
Business focused on when assessing performance: human resources - not at all,Information media & telecommunications,1,total,C2006_01,18
Business focused on when assessing performance: human resources - not at all,Publishing,2,total,C2006_01,9
Business focused on when assessing performance: human resources - not at all,Motion picture,2,total,C2006_01,3
Business focused on when assessing performance: human resources - not at all,Telecommunications,2,total,C2006_01,3
Business focused on when assessing performance: human resources - not at all,Financial & insurance services,1,total,C2006_01,51
Business focused on when assessing performance: human resources - not at all,Finance,2,total,C2006_01,15
Business focused on when assessing performance: human resources - not at all,Insurance,2,total,C2006_01,3
Business focused on when assessing performance: human resources - not at all,Auxiliary,2,total,C2006_01,36
Business focused on when assessing performance: human resources - not at all,"Rental, hiring, & real estate services",1,total,C2006_01,63
Business focused on when assessing performance: human resources - not at all,"Professional, scientific, & technical services",1,total,C2006_01,234
Business focused on when assessing performance: human resources - not at all,Computer systems design,2,total,C2006_01,60
Business focused on when assessing performance: human resources - not at all,Other professional scientific,2,total,C2006_01,177
Business focused on when assessing performance: human resources - not at all,Administrative & support services,1,total,C2006_01,102
Business focused on when assessing performance: human resources - not at all,Education & training,1,total,C2006_01,24
Business focused on when assessing performance: human resources - not at all,Health care & social assistance,1,total,C2006_01,54
Business focused on when assessing performance: human resources - not at all,Arts & recreation services,1,total,C2006_01,63
Business focused on when assessing performance: human resources - not at all,Other services,1,total,C2006_01,93
Business focused on when assessing performance: human resources - not at all,total,0,total,C2006_01,2919
Business focused on when assessing performance: human resources -  a little amount,total,0,6–19 employees,C2006_02,7143
Business focused on when assessing performance: human resources -  a little amount,total,0,20–49 employees,C2006_02,1770
Business focused on when assessing performance: human resources -  a little amount,total,0,50–99 employees,C2006_02,486
Business focused on when assessing performance: human resources -  a little amount,total,0,100+ employees,C2006_02,330
Business focused on when assessing performance: human resources -  a little amount,"Agriculture, forestry, & fishing",1,total,C2006_02,810
Business focused on when assessing performance: human resources -  a little amount,Agriculture,2,total,C2006_02,561
Business focused on when assessing performance: human resources -  a little amount,Commercial fishing,2,total,C2006_02,15
Business focused on when assessing performance: human resources -  a little amount,Forestry & logging,2,total,C2006_02,33
Business focused on when assessing performance: human resources -  a little amount,"Agriculture, forestry, & fishing support services",2,total,C2006_02,204
Business focused on when assessing performance: human resources -  a little amount,Mining,1,total,C2006_02,24
Business focused on when assessing performance: human resources -  a little amount,Manufacturing,1,total,C2006_02,1491
Business focused on when assessing performance: human resources -  a little amount,"Food, beverage, & tobacco",2,total,C2006_02,279
Business focused on when assessing performance: human resources -  a little amount,"Textile, clothing, footwear, & leather",2,total,C2006_02,90
Business focused on when assessing performance: human resources -  a little amount,Wood & paper product,2,total,C2006_02,183
Business focused on when assessing performance: human resources -  a little amount,"Printing, publishing, & recorded media",2,total,C2006_02,84
Business focused on when assessing performance: human resources -  a little amount,"Petroleum, coal, chemical, & associated product",2,total,C2006_02,117
Business focused on when assessing performance: human resources -  a little amount,Non-metallic mineral product,2,total,C2006_02,54
Business focused on when assessing performance: human resources -  a little amount,Metal product,2,total,C2006_02,324
Business focused on when assessing performance: human resources -  a little amount,Transport and industrial machinery & equipment,2,total,C2006_02,168
Business focused on when assessing performance: human resources -  a little amount,Other machinery & equipment,2,total,C2006_02,63
Business focused on when assessing performance: human resources -  a little amount,Other manufacturing,2,total,C2006_02,126
Business focused on when assessing performance: human resources -  a little amount,"Electricity, gas, water, & waste services",1,total,C2006_02,27
Business focused on when assessing performance: human resources -  a little amount,Construction,1,total,C2006_02,1260
Business focused on when assessing performance: human resources -  a little amount,Wholesale trade,1,total,C2006_02,942
Business focused on when assessing performance: human resources -  a little amount,Machinery & equipment wholesaling,2,total,C2006_02,258
Business focused on when assessing performance: human resources -  a little amount,Other wholesale trade,2,total,C2006_02,681
Business focused on when assessing performance: human resources -  a little amount,Retail trade,1,total,C2006_02,1107
Business focused on when assessing performance: human resources -  a little amount,Accommodation & food services,1,total,C2006_02,1386
Business focused on when assessing performance: human resources -  a little amount,"Transport, postal, & warehousing",1,total,C2006_02,396
Business focused on when assessing performance: human resources -  a little amount,Information media & telecommunications,1,total,C2006_02,81
Business focused on when assessing performance: human resources -  a little amount,Publishing,2,total,C2006_02,27
Business focused on when assessing performance: human resources -  a little amount,Motion picture,2,total,C2006_02,30
Business focused on when assessing performance: human resources -  a little amount,Telecommunications,2,total,C2006_02,21
Business focused on when assessing performance: human resources -  a little amount,Financial & insurance services,1,total,C2006_02,120
Business focused on when assessing performance: human resources -  a little amount,Finance,2,total,C2006_02,57
Business focused on when assessing performance: human resources -  a little amount,Insurance,2,total,C2006_02,3
Business focused on when assessing performance: human resources -  a little amount,Auxiliary,2,total,C2006_02,60
Business focused on when assessing performance: human resources -  a little amount,"Rental, hiring, & real estate services",1,total,C2006_02,237
Business focused on when assessing performance: human resources -  a little amount,"Professional, scientific, & technical services",1,total,C2006_02,669
Business focused on when assessing performance: human resources -  a little amount,Computer systems design,2,total,C2006_02,156
Business focused on when assessing performance: human resources -  a little amount,Other professional scientific,2,total,C2006_02,516
Business focused on when assessing performance: human resources -  a little amount,Administrative & support services,1,total,C2006_02,345
Business focused on when assessing performance: human resources -  a little amount,Education & training,1,total,C2006_02,162
Business focused on when assessing performance: human resources -  a little amount,Health care & social assistance,1,total,C2006_02,405
Business focused on when assessing performance: human resources -  a little amount,Arts & recreation services,1,total,C2006_02,69
Business focused on when assessing performance: human resources -  a little amount,Other services,1,total,C2006_02,195
Business focused on when assessing performance: human resources -  a little amount,total,0,total,C2006_02,9726
Business focused on when assessing performance: human resources - a moderate amount,total,0,6–19 employees,C2006_03,11910
Business focused on when assessing performance: human resources - a moderate amount,total,0,20–49 employees,C2006_03,2958
Business focused on when assessing performance: human resources - a moderate amount,total,0,50–99 employees,C2006_03,852
Business focused on when assessing performance: human resources - a moderate amount,total,0,100+ employees,C2006_03,663
Business focused on when assessing performance: human resources - a moderate amount,"Agriculture, forestry, & fishing",1,total,C2006_03,1257
Business focused on when assessing performance: human resources - a moderate amount,Agriculture,2,total,C2006_03,870
Business focused on when assessing performance: human resources - a moderate amount,Commercial fishing,2,total,C2006_03,15
Business focused on when assessing performance: human resources - a moderate amount,Forestry & logging,2,total,C2006_03,75
Business focused on when assessing performance: human resources - a moderate amount,"Agriculture, forestry, & fishing support services",2,total,C2006_03,297
Business focused on when assessing performance: human resources - a moderate amount,Mining,1,total,C2006_03,45
Business focused on when assessing performance: human resources - a moderate amount,Manufacturing,1,total,C2006_03,1926
Business focused on when assessing performance: human resources - a moderate amount,"Food, beverage, & tobacco",2,total,C2006_03,453
Business focused on when assessing performance: human resources - a moderate amount,"Textile, clothing, footwear, & leather",2,total,C2006_03,96
Business focused on when assessing performance: human resources - a moderate amount,Wood & paper product,2,total,C2006_03,162
Business focused on when assessing performance: human resources - a moderate amount,"Printing, publishing, & recorded media",2,total,C2006_03,99
Business focused on when assessing performance: human resources - a moderate amount,"Petroleum, coal, chemical, & associated product",2,total,C2006_03,153
Business focused on when assessing performance: human resources - a moderate amount,Non-metallic mineral product,2,total,C2006_03,57
Business focused on when assessing performance: human resources - a moderate amount,Metal product,2,total,C2006_03,294
Business focused on when assessing performance: human resources - a moderate amount,Transport and industrial machinery & equipment,2,total,C2006_03,435
Business focused on when assessing performance: human resources - a moderate amount,Other machinery & equipment,2,total,C2006_03,69
Business focused on when assessing performance: human resources - a moderate amount,Other manufacturing,2,total,C2006_03,108
Business focused on when assessing performance: human resources - a moderate amount,"Electricity, gas, water, & waste services",1,total,C2006_03,60
Business focused on when assessing performance: human resources - a moderate amount,Construction,1,total,C2006_03,1974
Business focused on when assessing performance: human resources - a moderate amount,Wholesale trade,1,total,C2006_03,1263
Business focused on when assessing performance: human resources - a moderate amount,Machinery & equipment wholesaling,2,total,C2006_03,387
Business focused on when assessing performance: human resources - a moderate amount,Other wholesale trade,2,total,C2006_03,876
Business focused on when assessing performance: human resources - a moderate amount,Retail trade,1,total,C2006_03,2085
Business focused on when assessing performance: human resources - a moderate amount,Accommodation & food services,1,total,C2006_03,2106
Business focused on when assessing performance: human resources - a moderate amount,"Transport, postal, & warehousing",1,total,C2006_03,663
Business focused on when assessing performance: human resources - a moderate amount,Information media & telecommunications,1,total,C2006_03,150
Business focused on when assessing performance: human resources - a moderate amount,Publishing,2,total,C2006_03,51
Business focused on when assessing performance: human resources - a moderate amount,Motion picture,2,total,C2006_03,54
Business focused on when assessing performance: human resources - a moderate amount,Telecommunications,2,total,C2006_03,39
Business focused on when assessing performance: human resources - a moderate amount,Financial & insurance services,1,total,C2006_03,216
Business focused on when assessing performance: human resources - a moderate amount,Finance,2,total,C2006_03,72
Business focused on when assessing performance: human resources - a moderate amount,Insurance,2,total,C2006_03,12
Business focused on when assessing performance: human resources - a moderate amount,Auxiliary,2,total,C2006_03,132
Business focused on when assessing performance: human resources - a moderate amount,"Rental, hiring, & real estate services",1,total,C2006_03,285
Business focused on when assessing performance: human resources - a moderate amount,"Professional, scientific, & technical services",1,total,C2006_03,1782
Business focused on when assessing performance: human resources - a moderate amount,Computer systems design,2,total,C2006_03,330
Business focused on when assessing performance: human resources - a moderate amount,Other professional scientific,2,total,C2006_03,1455
Business focused on when assessing performance: human resources - a moderate amount,Administrative & support services,1,total,C2006_03,561
Business focused on when assessing performance: human resources - a moderate amount,Education & training,1,total,C2006_03,387
Business focused on when assessing performance: human resources - a moderate amount,Health care & social assistance,1,total,C2006_03,939
Business focused on when assessing performance: human resources - a moderate amount,Arts & recreation services,1,total,C2006_03,141
Business focused on when assessing performance: human resources - a moderate amount,Other services,1,total,C2006_03,534
Business focused on when assessing performance: human resources - a moderate amount,total,0,total,C2006_03,16380
Business focused on when assessing performance: human resources - a great deal,total,0,6–19 employees,C2006_04,7479
Business focused on when assessing performance: human resources - a great deal,total,0,20–49 employees,C2006_04,2193
Business focused on when assessing performance: human resources - a great deal,total,0,50–99 employees,C2006_04,666
Business focused on when assessing performance: human resources - a great deal,total,0,100+ employees,C2006_04,717
Business focused on when assessing performance: human resources - a great deal,"Agriculture, forestry, & fishing",1,total,C2006_04,963
Business focused on when assessing performance: human resources - a great deal,Agriculture,2,total,C2006_04,558
Business focused on when assessing performance: human resources - a great deal,Commercial fishing,2,total,C2006_04,15
Business focused on when assessing performance: human resources - a great deal,Forestry & logging,2,total,C2006_04,105
Business focused on when assessing performance: human resources - a great deal,"Agriculture, forestry, & fishing support services",2,total,C2006_04,285
Business focused on when assessing performance: human resources - a great deal,Mining,1,total,C2006_04,30
Business focused on when assessing performance: human resources - a great deal,Manufacturing,1,total,C2006_04,1014
Business focused on when assessing performance: human resources - a great deal,"Food, beverage, & tobacco",2,total,C2006_04,234
Business focused on when assessing performance: human resources - a great deal,"Textile, clothing, footwear, & leather",2,total,C2006_04,57
Business focused on when assessing performance: human resources - a great deal,Wood & paper product,2,total,C2006_04,75
Business focused on when assessing performance: human resources - a great deal,"Printing, publishing, & recorded media",2,total,C2006_04,30
Business focused on when assessing performance: human resources - a great deal,"Petroleum, coal, chemical, & associated product",2,total,C2006_04,120
Business focused on when assessing performance: human resources - a great deal,Non-metallic mineral product,2,total,C2006_04,57
Business focused on when assessing performance: human resources - a great deal,Metal product,2,total,C2006_04,156
Business focused on when assessing performance: human resources - a great deal,Transport and industrial machinery & equipment,2,total,C2006_04,162
Business focused on when assessing performance: human resources - a great deal,Other machinery & equipment,2,total,C2006_04,42
Business focused on when assessing performance: human resources - a great deal,Other manufacturing,2,total,C2006_04,78
Business focused on when assessing performance: human resources - a great deal,"Electricity, gas, water, & waste services",1,total,C2006_04,39
Business focused on when assessing performance: human resources - a great deal,Construction,1,total,C2006_04,1365
Business focused on when assessing performance: human resources - a great deal,Wholesale trade,1,total,C2006_04,621
Business focused on when assessing performance: human resources - a great deal,Machinery & equipment wholesaling,2,total,C2006_04,240
Business focused on when assessing performance: human resources - a great deal,Other wholesale trade,2,total,C2006_04,381
Business focused on when assessing performance: human resources - a great deal,Retail trade,1,total,C2006_04,984
Business focused on when assessing performance: human resources - a great deal,Accommodation & food services,1,total,C2006_04,1311
Business focused on when assessing performance: human resources - a great deal,"Transport, postal, & warehousing",1,total,C2006_04,297
Business focused on when assessing performance: human resources - a great deal,Information media & telecommunications,1,total,C2006_04,99
Business focused on when assessing performance: human resources - a great deal,Publishing,2,total,C2006_04,36
Business focused on when assessing performance: human resources - a great deal,Motion picture,2,total,C2006_04,27
Business focused on when assessing performance: human resources - a great deal,Telecommunications,2,total,C2006_04,33
Business focused on when assessing performance: human resources - a great deal,Financial & insurance services,1,total,C2006_04,171
Business focused on when assessing performance: human resources - a great deal,Finance,2,total,C2006_04,60
Business focused on when assessing performance: human resources - a great deal,Insurance,2,total,C2006_04,18
Business focused on when assessing performance: human resources - a great deal,Auxiliary,2,total,C2006_04,93
Business focused on when assessing performance: human resources - a great deal,"Rental, hiring, & real estate services",1,total,C2006_04,324
Business focused on when assessing performance: human resources - a great deal,"Professional, scientific, & technical services",1,total,C2006_04,1452
Business focused on when assessing performance: human resources - a great deal,Computer systems design,2,total,C2006_04,237
Business focused on when assessing performance: human resources - a great deal,Other professional scientific,2,total,C2006_04,1215
Business focused on when assessing performance: human resources - a great deal,Administrative & support services,1,total,C2006_04,588
Business focused on when assessing performance: human resources - a great deal,Education & training,1,total,C2006_04,351
Business focused on when assessing performance: human resources - a great deal,Health care & social assistance,1,total,C2006_04,1044
Business focused on when assessing performance: human resources - a great deal,Arts & recreation services,1,total,C2006_04,171
Business focused on when assessing performance: human resources - a great deal,Other services,1,total,C2006_04,231
Business focused on when assessing performance: human resources - a great deal,total,0,total,C2006_04,11058
Business focused on when assessing performance: human resources - don't know,total,0,6–19 employees,C2006_05,1500
Business focused on when assessing performance: human resources - don't know,total,0,20–49 employees,C2006_05,228
Business focused on when assessing performance: human resources - don't know,total,0,50–99 employees,C2006_05,45
Business focused on when assessing performance: human resources - don't know,total,0,100+ employees,C2006_05,36
Business focused on when assessing performance: human resources - don't know,"Agriculture, forestry, & fishing",1,total,C2006_05,219
Business focused on when assessing performance: human resources - don't know,Agriculture,2,total,C2006_05,153
Business focused on when assessing performance: human resources - don't know,Commercial fishing,2,total,C2006_05,6
Business focused on when assessing performance: human resources - don't know,Forestry & logging,2,total,C2006_05,6
Business focused on when assessing performance: human resources - don't know,"Agriculture, forestry, & fishing support services",2,total,C2006_05,54
Business focused on when assessing performance: human resources - don't know,Mining,1,total,C2006_05,3
Business focused on when assessing performance: human resources - don't know,Manufacturing,1,total,C2006_05,195
Business focused on when assessing performance: human resources - don't know,"Food, beverage, & tobacco",2,total,C2006_05,33
Business focused on when assessing performance: human resources - don't know,"Textile, clothing, footwear, & leather",2,total,C2006_05,6
Business focused on when assessing performance: human resources - don't know,Wood & paper product,2,total,C2006_05,12
Business focused on when assessing performance: human resources - don't know,"Printing, publishing, & recorded media",2,total,C2006_05,12
Business focused on when assessing performance: human resources - don't know,"Petroleum, coal, chemical, & associated product",2,total,C2006_05,9
Business focused on when assessing performance: human resources - don't know,Non-metallic mineral product,2,total,C2006_05,9
Business focused on when assessing performance: human resources - don't know,Metal product,2,total,C2006_05,48
Business focused on when assessing performance: human resources - don't know,Transport and industrial machinery & equipment,2,total,C2006_05,51
Business focused on when assessing performance: human resources - don't know,Other machinery & equipment,2,total,C2006_05,6
Business focused on when assessing performance: human resources - don't know,Other manufacturing,2,total,C2006_05,12
Business focused on when assessing performance: human resources - don't know,"Electricity, gas, water, & waste services",1,total,C2006_05,3
Business focused on when assessing performance: human resources - don't know,Construction,1,total,C2006_05,138
Business focused on when assessing performance: human resources - don't know,Wholesale trade,1,total,C2006_05,93
Business focused on when assessing performance: human resources - don't know,Machinery & equipment wholesaling,2,total,C2006_05,33
Business focused on when assessing performance: human resources - don't know,Other wholesale trade,2,total,C2006_05,60
Business focused on when assessing performance: human resources - don't know,Retail trade,1,total,C2006_05,249
Business focused on when assessing performance: human resources - don't know,Accommodation & food services,1,total,C2006_05,420
Business focused on when assessing performance: human resources - don't know,"Transport, postal, & warehousing",1,total,C2006_05,72
Business focused on when assessing performance: human resources - don't know,Information media & telecommunications,1,total,C2006_05,18
Business focused on when assessing performance: human resources - don't know,Publishing,2,total,C2006_05,0
Business focused on when assessing performance: human resources - don't know,Motion picture,2,total,C2006_05,12
Business focused on when assessing performance: human resources - don't know,Telecommunications,2,total,C2006_05,3
Business focused on when assessing performance: human resources - don't know,Financial & insurance services,1,total,C2006_05,15
Business focused on when assessing performance: human resources - don't know,Finance,2,total,C2006_05,6
Business focused on when assessing performance: human resources - don't know,Insurance,2,total,C2006_05,0
Business focused on when assessing performance: human resources - don't know,Auxiliary,2,total,C2006_05,9
Business focused on when assessing performance: human resources - don't know,"Rental, hiring, & real estate services",1,total,C2006_05,24
Business focused on when assessing performance: human resources - don't know,"Professional, scientific, & technical services",1,total,C2006_05,60
Business focused on when assessing performance: human resources - don't know,Computer systems design,2,total,C2006_05,6
Business focused on when assessing performance: human resources - don't know,Other professional scientific,2,total,C2006_05,57
Business focused on when assessing performance: human resources - don't know,Administrative & support services,1,total,C2006_05,54
Business focused on when assessing performance: human resources - don't know,Education & training,1,total,C2006_05,15
